league,samples_00_at60,p_00,p_other_draw,p_decisive_if_00_at_60
"Belgium, Challenger Pro League",1,0.0,0.0,1.0
"France, Ligue 1",4,0.0,0.0,1.0
"Slovenia, 1. SNL",2,0.0,0.0,1.0
"Netherlands, Eredivisie",1,0.0,0.0,1.0
"Netherlands, Eerste Divisie",1,0.0,0.0,1.0
"Kazakhstan, Premier League",1,0.0,0.0,1.0
"Bolivia, Primera División",1,0.0,0.0,1.0
"Indonesia, Liga 1",2,0.0,0.0,1.0
"Denmark, Superliga",1,0.0,0.0,1.0
"Switzerland, Challenge League",1,0.0,0.0,1.0
"England, National League - North",5,0.0,0.2,0.8
"Northern-Ireland, Premiership",3,0.3333333333333333,0.0,0.6666666666666666
