comp,samples,decisive_rate_from_00at60
Dutch Eredivisie,7,1.0
Greek Super League,10,0.9
Swiss Challenge League,8,0.875
Bolivian Liga de Futbol Profesional,13,0.8461538461538461
French Ligue 1,19,0.8421052631578947
Danish Superliga,12,0.8333333333333334
English Premier League 2 - Div 1,12,0.8333333333333334
Jordanian Premier League,6,0.8333333333333334
Swiss Super League,10,0.8
Cypriot 1st Division,5,0.8
Dutch Eerste Divisie,14,0.7857142857142857
Japanese J League 3,29,0.7586206896551724
English Sky Bet League 2,36,0.75
Swedish Allsvenskan,24,0.75
Kazakhstan Premier League,8,0.75
German Bundesliga 2,19,0.7368421052631579
Northern Irish Premiership,11,0.7272727272727273
Chilean Primera Division,21,0.7142857142857143
Slovenian Premier League,7,0.7142857142857143
Venezuelan Primera Division,17,0.7058823529411765
English Sky Bet League 1,47,0.7021276595744681
Belgian First Division B,10,0.7
